municipality_lower,iata_code,name
andenes,ANX,AndÃƒÂ¸ya Airport
altenburg,AOC,Altenburg-Nobitz Airport
eskiã…âÿehir,AOE,Anadolu Airport
anshan,AOG,Anshan Air Base
ancona,AOI,Ancona Falconara Airport
aomori,AOJ,Aomori Airport
karpathos island,AOK,Karpathos Airport
paso de los libres,AOL,Paso De Los Libres Airport
altoona,AOO,Altoona Blair County Airport
alor satar,AOR,Sultan Abdul Halim Airport
aosta,AOT,Aosta Airport
denver,APA,Centennial Airport
naples,APF,Naples Municipal Airport
aberdeen proving grounds(aberdeen),APG,Phillips Army Air Field
apiay,API,Gomez Nino Apiay Air Base
nampula,APL,Nampula Airport
alpena,APN,Alpena County Regional Airport
carepa,APO,Antonio Roldan Betancourt Airport
apia,APW,Faleolo International Airport
zapala,APZ,Zapala Airport
araraquara,AQA,Araraquara Airport
anqing,AQG,Anqing Tianzhushan Airport
qaisumah,AQI,Al Qaisumah/Hafr Al Batin Airport
aqaba,AQJ,Aqaba King Hussein International Airport
arequipa,AQP,RodrÃƒÂ­guez BallÃƒÂ³n International Airport
new iberia,ARA,Acadiana Regional Airport
arctic village,ARC,Arctic Village Airport
arecibo,ARE,Antonio Nery Juarbe Pol Airport
archangelsk,ARH,Talagi Airport
arica,ARI,Chacalluta Airport
arusha,ARK,Arusha Airport
armidale,ARM,Armidale Airport
stockholm,ARN,Stockholm-Arlanda Airport
watertown,ART,Watertown International Airport
araãƒâ§atuba,ARU,AraÃƒÂ§atuba Airport
arad,ARW,Arad International Airport
aracati,ARX,Aracati Airport
asab,ASA,Assab International Airport
ashgabat,ASB,Ashgabat International Airport
aspen,ASE,Aspen-Pitkin Co/Sardy Field
astrakhan,ASF,Astrakhan Airport
ascension island,ASI,RAF Ascension Island
amami,ASJ,Amami Airport
yamoussoukro,ASK,Yamoussoukro Airport
asmara,ASM,Asmara International Airport
asosa,ASO,Asosa Airport
alice springs,ASP,Alice Springs Airport
kayseri,ASR,Kayseri Erkilet Airport
astoria,AST,Astoria Regional Airport
asunciãƒâ³n,ASU,Silvio Pettirossi International Airport
amboseli national park,ASV,Amboseli Airport
aswan,ASW,Aswan International Airport
anta,ATA,Comandante FAP German Arias Graziani Airport
arthur's town,ATC,Arthur's Town Airport
ambato,ATF,ChachoÃƒÂ¡n Airport
kamra,ATG,Minhas Air Base
athens,ATH,Eleftherios Venizelos International Airport
atqasuk,ATK,Atqasuk Edward Burnell Sr Memorial Airport
atlanta,ATL,Hartsfield Jackson Atlanta International Airport
altamira,ATM,Altamira Airport
amritsar,ATQ,Sri Guru Ram Dass Jee International Airport
atar,ATR,Atar International Airport
watertown,ATY,Watertown Regional Airport
asyut,ATZ,Asyut International Airport
oranjestad,AUA,Queen Beatrix International Airport
arauca,AUC,Santiago Perez Airport
auxerre/branches,AUF,Auxerre-Branches Airport
augusta,AUG,Augusta State Airport
abu dhabi,AUH,Abu Dhabi International Airport
hiva oa island,AUQ,Hiva Oa-Atuona Airport
aurillac,AUR,Aurillac Airport
austin,AUS,Austin Bergstrom International Airport
wausau,AUW,Wausau Downtown Airport
araguaãƒâ­na,AUX,AraguaÃƒÂ­na Airport
anshun,AVA,Anshun Huangguoshu Airport
aviano (pn),AVB,Aviano Air Base
ciego de avila,AVI,Maximo Gomez Airport
arvaikheer,AVK,Arvaikheer Airport
asheville,AVL,Asheville Regional Airport
avignon/caumont,AVN,Avignon-Caumont Airport
wilkes-barre/scranton,AVP,Wilkes Barre Scranton International Airport
vila franca de xira,AVR,Alverca Air Base
melbourne,AVV,Avalon Airport
wake island,AWK,Wake Island Airfield
ahwaz,AWZ,Ahwaz Airport
the valley,AXA,Clayton J Lloyd International Airport
alexandroupolis,AXD,Dimokritos Airport
bayanhot,AXF,Alxa Left Banner Bayanhot Airport
armenia,AXM,El Eden Airport
alexandria,AXN,Chandler Field
spring point,AXP,Spring Point Airport
akita,AXT,Akita Airport
ayolas,AYO,Juan De Ayolas Airport
ayacucho,AYP,Coronel FAP Alfredo Mendivil Duarte Airport
ayers rock,AYQ,Ayers Rock Connellan Airport
antalya,AYT,Antalya International Airport
atalaya,AYX,Teniente General Gerardo PÃƒÂ©rez Pinedo Airport
phoenix,AZA,Phoenix-Mesa-Gateway Airport
yazd,AZD,Shahid Sadooghi Airport
kalamazoo,AZO,Kalamazoo Battle Creek International Airport
samana,AZS,SamanÃƒÂ¡ El Catey International Airport
marysville,BAB,Beale Air Force Base
bossier city,BAD,Barksdale Air Force Base
westfield/springfield,BAF,Westfield-Barnes Regional Airport
baguio city,BAG,Loakan Airport
manama,BAH,Bahrain International Airport
punta arenas,BAI,Buenos Aires Airport
batman,BAL,Batman Airport
barranquilla,BAQ,Ernesto Cortissoz International Airport
qionghai,BAR,Qionghai Bo'ao Airport
barretos,BAT,Chafei Amsei Airport
bauru,BAU,Bauru Airport
baotou,BAV,Baotou Airport
barnaul,BAX,Barnaul Airport
baia mare,BAY,MaramureÃˆÂ™ International Airport
balmaceda,BBA,Balmaceda Airport
brady,BBD,Curtis Field
bhubaneswar,BBI,Biju Patnaik Airport
kasane,BBK,Kasane Airport
battambang,BBM,Battambang Airport
bario,BBN,Bario Airport
berbera,BBO,Berbera Airport
yateley,BBS,Blackbushe Airport
berbãƒâ©rati,BBT,BerbÃƒÂ©rati Airport
bucharest,BBU,BÃ„Âƒneasa International Airport
baracoa,BCA,Gustavo Rizo Airport
bacolod city,BCD,Bacolod-Silay Airport
bryce canyon,BCE,Bryce Canyon Airport
baucau,BCH,Cakung Airport
barcaldine,BCI,Barcaldine Airport
pococi,BCL,Barra del Colorado Airport
bacã„âƒu,BCM,BacÃ„Âƒu Airport
barcelona,BCN,Barcelona International Airport
brak,BCQ,Brak Airport
bauchi,BCU,Sir Abubakar Tafawa Balewa International Airport
benguera island,BCW,Benguera Island Airport
hamilton,BDA,L.F. Wade International International Airport
bundaberg,BDB,Bundaberg Airport
baudette,BDE,Baudette International Airport
bandar lengeh,BDH,Bandar Lengeh Airport
hartford,BDL,Bradley International Airport
bandung-java island,BDO,Husein Sastranegara International Airport
vadodara,BDQ,Vadodara Airport
bridgeport,BDR,Igor I Sikorsky Memorial Airport
brindisi,BDS,Brindisi Ã¢Â€Â“ Salento Airport
mãƒâ¥lselv,BDU,Bardufoss Airport
balivanich,BEB,Benbecula Airport
bedford,BED,Laurence G Hanscom Field
bluefileds,BEF,Bluefields Airport
belgrade,BEG,Belgrade Nikola Tesla Airport
tanjung redeb - borneo island,BEJ,Kalimarau Airport
bareilly,BEK,Bareilly Air Force Station
belãƒâ©m,BEL,Val de Cans/JÃƒÂºlio Cezar Ribeiro International Airport
benghazi,BEN,Benina International Airport
bellary,BEP,Bellary Airport
thetford,BEQ,RAF Honington
brest/guipavas,BES,Brest Bretagne Airport
bethel,BET,Bethel Airport
beira,BEW,Beira Airport
benson,BEX,RAF Benson
beirut,BEY,Beirut Rafic Hariri International Airport
bradford,BFD,Bradford Regional Airport
scottsbluff,BFF,Western Neb. Rgnl/William B. Heilig Airport
curitiba,BFH,Bacacheri Airport
seattle,BFI,Boeing Field King County International Airport
bijie,BFJ,Bijie Feixiong Airport
aurora,BFK,Buckley Air Force Base
bakersfield,BFL,Meadows Field
mobile,BFM,Mobile Downtown Airport
bloemfontain,BFN,Bram Fischer International Airport
chiredzi,BFO,Buffalo Range Airport
beaver falls,BFP,Beaver County Airport
belfast,BFS,Belfast International Airport
bengbu,BFU,Bengbu Airport
bafoussam,BFX,Bafoussam Airport
bucaramanga,BGA,Palonegro Airport
braganãƒâ§a,BGC,BraganÃƒÂ§a Airport
bangui,BGF,Bangui M'Poko International Airport
bridgetown,BGI,Grantley Adams International Airport
big creek,BGK,Big Creek Airport
binghamton,BGM,Greater Binghamton/Edwin A Link field
belaya gora,BGN,Belaya Gora Airport
bergen,BGO,Bergen Airport Flesland
bangor,BGR,Bangor International Airport
baghdad,BGW,Baghdad International Airport
bagãƒâ©,BGX,Comandante Gustavo Kraemer Airport
bergamo,BGY,Milan Bergamo Airport
braga,BGZ,Braga Municipal Aerodrome
bar harbor,BHB,Hancock County-Bar Harbor Airport
belfast,BHD,George Best Belfast City Airport
blenheim,BHE,Woodbourne Airport
bahia blanca,BHI,Comandante Espora Airport
bhuj,BHJ,Bhuj Airport
bukhara,BHK,Bukhara Airport
birmingham,BHM,Birmingham-Shuttlesworth International Airport
bhopal,BHO,Raja Bhoj International Airport
broken hill,BHQ,Broken Hill Airport
bathurst,BHS,Bathurst Airport
bhavnagar,BHU,Bhavnagar Airport
bahawalpur,BHV,Bahawalpur Airport
birmingham,BHX,Birmingham International Airport
bastia/poretta,BIA,Bastia-Poretta Airport
fort bliss/el paso,BIF,Biggs Army Air Field (Fort Bliss)
delta junction ft greely,BIG,Allen Army Airfield
bishop,BIH,Eastern Sierra Regional Airport
biak-supiori island,BIK,Frans Kaisiepo Airport
billings,BIL,Billings Logan International Airport
south bimini,BIM,South Bimini Airport
bilbao,BIO,Bilbao Airport
biarritz/anglet/bayonne,BIQ,Biarritz-Anglet-Bayonne Airport
biratnagar,BIR,Biratnagar Airport
bismarck,BIS,Bismarck Municipal Airport
biloxi,BIX,Keesler Air Force Base
bisho,BIY,Bisho Airport
bãƒâ©jaãƒâ¯a,BJA,Soummam Airport
bojnord,BJB,Bojnord Airport
denver,BJC,Rocky Mountain Metropolitan Airport
bãƒâ¥tsfjord,BJF,BÃƒÂ¥tsfjord Airport
bemidji,BJI,Bemidji Regional Airport
banjul,BJL,Banjul International Airport
bujumbura,BJM,Bujumbura International Airport
bermejo,BJO,Bermejo Airport
bahir dar,BJR,Bahir Dar Airport
bodrum,BJV,Milas Bodrum International Airport
silao,BJX,Del BajÃƒÂ­o International Airport
batajnica,BJY,Batajnica Air Base
badajoz,BJZ,Badajoz Airport
bikaner,BKB,Nal Airport
buckland,BKC,Buckland Airport
baker city,BKE,Baker City Municipal Airport
kekaha,BKH,Barking Sands Airport
kota kinabalu,BKI,Kota Kinabalu International Airport
bangkok,BKK,Suvarnabhumi Airport
cleveland,BKL,Burke Lakefront Airport
bamako,BKO,Modibo Keita International Airport
blackall,BKQ,Blackall Airport
bengkulu-sumatra island,BKS,Fatmawati Soekarno Airport
beckley,BKW,Raleigh County Memorial Airport
barcelona,BLA,General JosÃƒÂ© Antonio Anzoategui International Airport
bluefield,BLF,Mercer County Airport
blythe,BLH,Blythe Airport
bellingham,BLI,Bellingham International Airport
batna,BLJ,Batna Airport
blackpool,BLK,Blackpool International Airport
billund,BLL,Billund Airport
bologna,BLQ,Bologna Guglielmo Marconi Airport
bangalore,BLR,Kempegowda International Airport
belleville,BLV,Scott AFB/Midamerica Airport
blantyre,BLZ,Chileka International Airport
stockholm,BMA,Stockholm-Bromma Airport
broome,BME,Broome International Airport
bloomington,BMG,Monroe County Airport
bloomington/normal,BMI,Central Illinois Regional Airport at Bloomington-Normal
bitam,BMM,Bitam Airport
buon ma thuot,BMV,Buon Ma Thuot Airport
waala,BMY,ÃƒÂŽle Art - Waala Airport
nashville,BNA,Nashville International Airport
bandar abbas,BND,Bandar Abbas International Airport
brisbane,BNE,Brisbane International Airport
benin,BNI,Benin Airport
ballina,BNK,Ballina Byron Gateway Airport
brãƒâ¸nnãƒâ¸y,BNN,BrÃƒÂ¸nnÃƒÂ¸ysund Airport
burns,BNO,Burns Municipal Airport
barinas,BNS,Barinas Airport
banja luka,BNX,Banja Luka International Airport
motu mute,BOB,Bora Bora Airport
isla colãƒâ³n,BOC,Bocas Del Toro International Airport
bordeaux/mãƒâ©rignac,BOD,Bordeaux-MÃƒÂ©rignac Airport
bogota,BOG,El Dorado International Airport
bournemouth,BOH,Bournemouth Airport
boise,BOI,Boise Air Terminal/Gowen Field
burgas,BOJ,Burgas Airport
mumbai,BOM,Chhatrapati Shivaji International Airport
kralendijk,BON,Flamingo International Airport
bodãƒâ¸,BOO,BodÃƒÂ¸ Airport
boston,BOS,General Edward Lawrence Logan International Airport
bourges,BOU,Bourges Airport
bobo dioulasso,BOY,Bobo Dioulasso Airport
bamenda,BPC,Bamenda Airport
qinhuangdao,BPE,Qinhuangdao Beidaihe Airport
barra do garãƒâ§as,BPG,Barra do GarÃƒÂ§as Airport
big piney,BPI,Miley Memorial Field
bole,BPL,Alashankou Bole (Bortala) airport
hyderabad,BPM,Begumpet Airport
porto seguro,BPS,Porto Seguro Airport
beaumont/port arthur,BPT,Southeast Texas Regional Airport
bangda,BPX,Qamdo Bangda Airport
baler,BQA,Dr.Juan C. Angara Airport
london,BQH,London Biggin Hill Airport
brunswick,BQK,Brunswick Golden Isles Airport
aguadilla,BQN,Rafael Hernandez Airport
blagoveschensk,BQS,Ignatyevo Airport
brest,BQT,Brest Airport
bequia,BQU,J F Mitchell Airport
san carlos de bariloche,BRC,San Carlos De Bariloche Airport
brainerd,BRD,Brainerd Lakes Regional Airport
bremen,BRE,Bremen Airport
bari,BRI,Bari Karol WojtyÃ…Â‚a Airport
burlington,BRL,Southeast Iowa Regional Airport
barquisimeto,BRM,Barquisimeto International Airport
bern,BRN,Bern Belp Airport
brownsville,BRO,Brownsville South Padre Island International Airport
brno,BRQ,Brno-TuÃ…Â™any Airport
eoligarry,BRR,Barra Airport
bristol,BRS,Bristol Airport
brussels,BRU,Brussels Airport
utqiaã„â¡vik,BRW,Wiley Post Will Rogers Memorial Airport
barahona,BRX,Maria Montez International Airport
brasãƒâ­lia,BSB,Presidente Juscelino Kubitschek International Airport
bahãƒâ­a solano,BSC,JosÃƒÂ© Celestino Mutis Airport
camp pohakuloa,BSF,Bradshaw Army Airfield
biskra,BSK,Biskra Airport
bãƒâ¢le/mulhouse,BSL,EuroAirport Basel-Mulhouse-Freiburg Airport
basco,BSO,Basco Airport
basrah,BSR,Basrah International Airport
batticaloa,BTC,Batticaloa Airport
bonthe,BTE,Sherbro International Airport
batam island,BTH,Hang Nadim International Airport
barter island lrrs,BTI,Barter Island LRRS Airport
banda aceh,BTJ,Sultan Iskandar Muda International Airport
bratsk,BTK,Bratsk Airport
battle creek,BTL,W K Kellogg Airport
butte,BTM,Bert Mooney Airport
baton rouge,BTR,Baton Rouge Metropolitan Airport
bratislava,BTS,M. R. Ã…Â tefÃƒÂ¡nik Airport
bettles,BTT,Bettles Airport
bintulu,BTU,Bintulu Airport
burlington,BTV,Burlington International Airport
buka island,BUA,Buka Airport
budapest,BUD,Budapest Liszt Ferenc International Airport
buffalo,BUF,Buffalo Niagara International Airport
benguela,BUG,Benguela Airport
buenaventura,BUN,Gerardo Tobar LÃƒÂ³pez Airport
bulawayo,BUQ,Joshua Mqabuko Nkomo International Airport
burbank,BUR,Bob Hope Airport
batumi,BUS,Batumi International Airport
bushehr,BUZ,Bushehr Airport
beauvais/tillãƒâ©,BVA,Paris Beauvais TillÃƒÂ© Airport
boa vista,BVB,Atlas Brasil Cantanhede Airport
rabil,BVC,Rabil Airport
brive la gaillarde,BVE,Brive-Souillac
berlevãƒâ¥g,BVG,BerlevÃƒÂ¥g Airport
vilhena,BVH,Brigadeiro CamarÃƒÂ£o Airport
beverly,BVY,Beverly Municipal Airport
bhairawa,BWA,Gautam Buddha Airport
braunschweig,BWE,Braunschweig-Wolfsburg Airport
barrow-in-furness,BWF,Barrow Walney Island Airport
bowling green,BWG,Bowling Green Warren County Regional Airport
butterworth,BWH,Butterworth Airport
baltimore,BWI,Baltimore/Washington International Thurgood Marshall Airport
braã„â island,BWK,Bol Airport
bandar seri begawan,BWN,Brunei International Airport
balakovo,BWO,Balakovo Airport
burnie,BWT,Wynyard Airport
sydney,BWU,Sydney Bankstown Airport
babo-papua island,BXB,Babo Airport
bakel,BXE,Bakel Airport
balkhash,BXH,Balkhash Airport
biaã…â‚a podlaska,BXP,BiaÃ…Â‚a Podlaska Airfield
butuan city,BXU,Bancasi Airport
baikonur,BXY,Krainiy Airport
yacuãƒâ­ba,BYC,Yacuiba Airport
blytheville,BYH,Arkansas International Airport
burley,BYI,Burley Municipal Airport
beja,BYJ,Beja Airport / Airbase
bayamo,BYM,Carlos Manuel de Cespedes Airport
bayankhongor,BYN,Bayankhongor Airport
fort irwin/barstow,BYS,Bicycle Lake Army Air Field
bayreuth,BYU,Bayreuth Airport
bazaruto island,BZB,Bazaruto Island Airport
cabo frio,BZC,Umberto Modiano Airport
belize city,BZE,Philip S. W. Goldson International Airport
bydgoszcz,BZG,Bydgoszcz Ignacy Jan Paderewski Airport
bryansk,BZK,Bryansk Airport
barisal,BZL,Barisal Airport
bozeman,BZN,Gallatin Field
bolzano,BZO,Bolzano Airport
bãƒâ©ziers/vias,BZR,BÃƒÂ©ziers-Vias Airport
brazzaville,BZV,Maya-Maya Airport
bã„âƒlãˆâ›i,BZY,BÃ„ÂƒlÃˆÂ›i International Airport
brize norton,BZZ,RAF Brize Norton
cabinda,CAB,Cabinda Airport
cascavel,CAC,Cascavel Airport
columbia,CAE,Columbia Metropolitan Airport
cagliari,CAG,Cagliari Elmas Airport
ca mau city,CAH,CÃƒÂ  Mau Airport
cairo,CAI,Cairo International Airport
canaima,CAJ,Canaima Airport
akron,CAK,Akron Canton Regional Airport
campbeltown,CAL,Campbeltown Airport
guangzhou,CAN,Guangzhou Baiyun International Airport
cap haitien,CAP,Cap Haitien International Airport
caucasia,CAQ,Juan H White Airport
caribou,CAR,Caribou Municipal Airport
cascais,CAT,Cascais Airport
campos dos goytacazes,CAW,Bartolomeu Lisandro Airport
carlisle,CAX,Carlisle Airport
cayenne / rochambeau,CAY,Cayenne-Rochambeau Airport
cochabamba,CBB,Jorge Wilsterman International Airport
cambridge,CBG,Cambridge Airport
bãƒâ©char,CBH,BÃƒÂ©char Boudghene Ben Ali Lotfi Airport
cabo rojo,CBJ,Cabo Rojo Airport
columbus,CBM,Columbus Air Force Base
cotabato city,CBO,Awang Airport
calabar,CBQ,Margaret Ekpo International Airport
canberra,CBR,Canberra International Airport
catumbela,CBT,Catumbela Airport
coban,CBV,Coban Airport
cayo coco,CCC,Jardines Del Rey Airport
carcassonne/salvaza,CCF,Carcassonne Airport
chile chico,CCH,Chile Chico Airport
calicut,CCJ,Calicut International Airport
cocos (keeling) islands,CCK,Cocos (Keeling) Islands Airport
criciãƒâºma,CCM,DiomÃƒÂ­cio Freitas Airport
concepcion,CCP,Carriel Sur Airport
caracas,CCS,SimÃƒÂ³n BolÃƒÂ­var International Airport
kolkata,CCU,Netaji Subhash Chandra Bose International Airport
charles city,CCY,Northeast Iowa Regional Airport
cold bay,CDB,Cold Bay Airport
cedar city,CDC,Cedar City Regional Airport
chengde,CDE,Chengde Puning Airport
paris,CDG,Charles de Gaulle International Airport
conceiãƒâ§ãƒâ£o do araguaia,CDJ,ConceiÃƒÂ§ÃƒÂ£o do Araguaia Airport
kadapa,CDP,Kadapa Airport
chadron,CDR,Chadron Municipal Airport
childress,CDS,Childress Municipal Airport
castellãƒâ³n de la plana,CDT,CastellÃƒÂ³n-Costa Azahar Airport
cordova,CDV,Merle K (Mudhole) Smith Airport
lapu-lapu city,CEB,Mactan Cebu International Airport
crescent city,CEC,Jack Mc Namara Field Airport
cherepovets,CEE,Cherepovets Airport
springfield/chicopee,CEF,Westover ARB/Metropolitan Airport
hawarden,CEG,Hawarden Airport
chiang rai,CEI,Chiang Rai International Airport
chelyabinsk,CEK,Chelyabinsk Balandino Airport
ciudad obregãƒâ³n,CEN,Ciudad ObregÃƒÂ³n International Airport
cannes/mandelieu,CEQ,Cannes-Mandelieu Airport
cherbourg/maupertus,CER,Cherbourg-Maupertus Airport
cholet/le pontreau,CET,Cholet Le Pontreau Airport
crestview,CEW,Bob Sikes Airport
clermont-ferrand/auvergne,CFE,Clermont-Ferrand Auvergne Airport
cienfuegos,CFG,Jaime Gonzalez Airport
donegal,CFN,Donegal Airport
caen/carpiquet,CFR,Caen-Carpiquet Airport
coffs harbour,CFS,Coffs Harbour Airport
kerkyra island,CFU,Ioannis Kapodistrias International Airport
cuiabãƒâ¡,CGB,Marechal Rondon Airport
changde,CGD,Changde Airport
cleveland,CGF,Cuyahoga County Airport
sãƒâ£o paulo,CGH,Congonhas Airport
cape girardeau,CGI,Cape Girardeau Regional Airport
chingola,CGJ,Kasompe Airport
jakarta,CGK,Soekarno-Hatta International Airport
mambajao,CGM,Camiguin Airport
cologne,CGN,Cologne Bonn Airport
zhengzhou,CGO,Zhengzhou Xinzheng International Airport
chittagong,CGP,Shah Amanat International Airport
changchun,CGQ,Longjia Airport
campo grande,CGR,Campo Grande Airport
cagayan de oro city,CGY,Laguindingan Airport
chattanooga,CHA,Lovell Field
christchurch,CHC,Christchurch International Airport
chaoyang,CHG,Chaoyang Airport
chachapoyas,CHH,Chachapoyas Airport
chimbote,CHM,Teniente FAP Jaime A De Montreuil Morales Airport
charlottesville,CHO,Charlottesville Albemarle Airport
souda,CHQ,Chania International Airport
chãƒâ¢teauroux/dãƒâ©ols,CHR,ChÃƒÂ¢teauroux-DÃƒÂ©ols "Marcel Dassault" Airport
charleston,CHS,Charleston Air Force Base-International Airport
waitangi,CHT,Chatham Islands-Tuuta Airport
changuinola,CHX,Cap Manuel NiÃƒÂ±o International Airport
rome,CIA,CiampinoÃ¢Â€Â“G. B. Pastine International Airport
cedar rapids,CID,The Eastern Iowa Airport
chifeng,CIF,Chifeng Airport
cobija,CIJ,CapitÃƒÂ¡n AnÃƒÂ­bal Arab Airport
abariringa,CIS,Canton Island Airport
shymkent,CIT,Shymkent Airport
sault ste marie,CIU,Chippewa County International Airport
canouan,CIW,Canouan Airport
chiclayo,CIX,Capitan FAP Jose A Quinones Gonzales International Airport
comiso,CIY,Comiso Airport
cajamarca,CJA,Mayor General FAP Armando Revoredo Iglesias Airport
coimbatore,CJB,Coimbatore International Airport
